,wavelength,pacs160,pacs100,dnu
15228,59.4353981,0,0.00018727,-7546017286
15229,59.5237999,0,0.00021582,-7546017286
15230,59.61249924,0,0.00021023,-7546017286
15231,59.70149612,0,0.00019125,-7546017286
15232,59.79069901,0,0.00018947,-7546017286
15233,59.88019943,0,0.00020589,-7546017286
15234,59.97000504,0,0.00021997,-7546017286
15235,60.06010056,0,0.00019996,-7546017286
15236,60.15039825,0,0.00017051,-7546017286
15237,60.24099731,0,0.0001912,-7546017286
15238,60.33180237,0,0.00022073,-7546017286
15239,60.42300034,0,0.00021079,-7546017286
15240,60.51440048,0,0.00019793,-7546017286
15241,60.60609818,0,0.00018962,-7546017286
15242,60.69800186,0,0.00020543,-7546017286
15243,60.79029846,0,0.00032725,-7546017286
15244,60.88280487,0,0.0004906,-7546017286
15245,60.97560501,0,0.00057578,-7546017286
15246,61.06869888,0,0.00062308,-7546017286
15247,61.16209793,0,0.00062355,-7546017286
15248,61.25569916,0,0.00050343,-7546017286
15249,61.34970093,0,0.00037095,-7546017286
15250,61.44390488,0,0.00027725,-7546017286
15251,61.53850174,0,0.00015112,-7546017286
15252,61.63330078,0,0.00011638,-7546017286
15253,61.728405,0,0.00019352,-7546017286
15254,61.82380295,0,0.00017793,-7546017286
15255,61.91950226,0,0.00014039,-7546017286
15256,62.01549911,0,0.00022324,-7546017286
15257,62.11180115,0,0.00025831,-7546017286
15258,62.20840454,0,0.00025937,-7546017286
15259,62.30529785,0,0.00036755,-7546017286
15260,62.40250397,0,0.00039415,-7546017286
15261,62.5,0,0.00034433,-7546017286
15262,62.59779739,0,0.00041374,-7546017286
15263,62.69589615,1.00E-08,0.0005062,-7546017286
15264,62.79429626,1.00E-08,0.00047943,-7546017286
15265,62.89310074,1.00E-08,0.00054699,-7546017286
15266,62.99210358,1.00E-08,0.0005931,-7546017286
15267,63.09149933,1.00E-08,0.00047937,-7546017286
15268,63.19120026,1.00E-08,0.00050453,-7546017286
15269,63.29109573,1.00E-08,0.00055742,-7546017286
15270,63.39139938,1.00E-08,0.00036437,-7546017286
15271,63.49210358,1.00E-08,0.00026265,-7546017286
15272,63.5929985,0,0.0003331,-7546017286
15273,63.69430542,0,0.00023771,-7546017286
15274,63.79589844,0,0.0002279,-7546017286
15275,63.89779663,0,0.00042884,-7546017286
15276,64,0,0.00041226,-7546017286
15277,64.1026001,0,0.00035777,-7546017286
15278,64.20549774,0,0.00054213,-7546017286
15279,64.30870056,0,0.00053693,-7546017286
15280,64.41220093,0,0.00043144,-7546017286
15281,64.51609802,0,0.00057118,-7546017286
15282,64.62039948,0,0.00052897,-7546017286
15283,64.72489929,0,0.00032637,-7546017286
15284,64.82980347,0,0.0004184,-7546017286
15285,64.93509674,0,0.00036861,-7546017286
15286,65.04060364,0,5.98E-05,-7546017286
15287,65.14659882,0,0.00016475,-7546017286
15288,65.25289917,0,0.00038953,-7546017286
15289,65.35949707,0,0.00028246,-7546017286
15290,65.46640015,0,0.00038264,-7546017286
15291,65.57379913,0,0.00059997,-7546017286
15292,65.68139648,0,0.00041652,-7546017286
15293,65.78949738,0,0.00037095,-7546017286
15294,65.89790344,0,0.00060895,-7546017286
15295,66.00659943,0,0.00052152,-7546017286
15296,66.11569977,0,0.00046092,-7546017286
15297,66.22519684,0,0.00064822,-7546017286
15298,66.33499908,0,0.00051589,-7546017286
15299,66.44519806,0,0.00019766,-7546017286
15300,66.55570221,0,0.00032219,-7546017286
15301,66.66670227,0,0.00024643,-7546017286
15302,66.77799988,0,2.26E-05,-7546017286
15303,66.88960266,0,0.00018038,-7546017286
15304,67.00170135,0,0.00029204,-7546017286
15305,67.1140976,0,1.74E-05,-7546017286
15306,67.22689819,0,0.00012827,-7546017286
15307,67.34010315,0,0.00032209,-7546017286
15308,67.45359802,0,2.20E-05,-7546017286
15309,67.56759644,0,0.00014662,-7546017286
15310,67.79660034,0,6.67E-05,-7546017286
15311,67.91169739,0,7.80E-05,-7546017286
15312,68.02719879,0,0.00037214,-7546017286
15313,68.14309692,0,7.77E-05,-7546017286
15314,68.37609863,0,0.00020852,-7546017286
15315,68.49310303,0,7.24E-05,-7546017286
15316,68.61060333,0,6.57E-05,-7546017286
15317,68.72850037,0,0.00022404,-7546017286
15318,68.84680176,0,0.00010943,-7546017286
15319,68.96549988,0,6.41E-05,-7546017286
15320,69.08460236,0,0.00052553,-7546017286
15321,69.20420074,0,0.00041454,-7546017286
15322,69.32409668,0,0.00029951,-7546017286
15323,69.44439697,0,0.00074173,-7546017286
15324,69.56520081,0,0.00055584,-7546017286
15325,69.68640137,0,0.00020496,-7546017286
15326,69.80799866,0,0.00055585,-7546017286
15327,69.93009949,0,0.00030511,-7546017286
15328,70.05249786,0,8.17E-05,-7546017286
15329,70.17539978,0,0.00020673,-7546017286
15330,70.29879761,0,0.00022707,-7546017286
15331,70.42250061,0,3.80E-05,-7546017286
15332,70.54669952,0,0.0003237,-7546017286
15333,70.67140198,0,0.00067768,-7546017286
15334,70.79650116,0,0.00028141,-7546017286
15335,70.92199707,0,0.00060039,-7546017286
15336,71.68460083,0,0.00088049,-7546017286
15337,71.81330109,0,0.00137865,-7546017286
15338,71.94239807,0,0.00092969,-7546017286
15339,72.07209778,0,0.00053635,-7546017286
15340,72.20220184,0,0.00093976,-7546017286
15341,72.33270264,0,0.0005666,-7546017286
15342,72.46379852,0,0.00013157,-7546017286
15343,72.59529877,0,0.00062056,-7546017286
15344,72.72730255,0,0.00033404,-7546017286
15345,72.85970306,0,6.65E-05,-7546017286
15346,72.99269867,0,7.18E-05,-7546017286
15347,73.12609863,0,0.00019846,-7546017286
15348,73.26010132,0,1.01E-05,-7546017286
